172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001118
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001141
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001099
172.21.200.5, 2017-07-17 12:17:56, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001095
172.21.200.5, 2017-07-17 12:17:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001429
172.21.200.34, 2017-07-17 12:17:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.372557
172.21.200.34, 2017-07-17 12:17:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001175
172.21.200.34, 2017-07-17 12:17:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001718
172.21.200.34, 2017-07-17 12:17:57, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001278
172.21.200.34, 2017-07-17 12:17:57, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001856
172.21.200.34, 2017-07-17 12:17:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001139
172.21.200.34, 2017-07-17 12:17:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001256
172.21.200.34, 2017-07-17 12:17:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001144
172.21.200.34, 2017-07-17 12:17:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001340
172.21.200.34, 2017-07-17 12:17:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001166
172.21.200.34, 2017-07-17 12:17:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001284
172.21.200.5, 2017-07-17 12:18:03, POST, /admin/default/index, HTTP/1.1, 200, 1.198877
172.21.200.5, 2017-07-17 12:18:03, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001978
172.21.200.5, 2017-07-17 12:18:03, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001999
172.21.200.5, 2017-07-17 12:18:03, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.007242
172.21.200.5, 2017-07-17 12:18:03, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.003875
172.21.200.5, 2017-07-17 12:18:03, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002307
172.21.200.5, 2017-07-17 12:18:03, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001114
172.21.200.5, 2017-07-17 12:18:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000760
172.21.200.5, 2017-07-17 12:18:07, POST, /admin/default/index, HTTP/1.1, 303, 0.153996
172.21.200.5, 2017-07-17 12:18:07, GET, /admin/default/site, HTTP/1.1, 200, 0.215778
172.21.200.5, 2017-07-17 12:18:07, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004374
172.21.200.5, 2017-07-17 12:18:07, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.002383
172.21.200.5, 2017-07-17 12:18:07, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.012766
172.21.200.5, 2017-07-17 12:18:07, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.006321
172.21.200.5, 2017-07-17 12:18:07, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001100
172.21.200.5, 2017-07-17 12:18:07, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001098
172.21.200.5, 2017-07-17 12:18:08, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.003017
172.21.200.5, 2017-07-17 12:18:08, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001807
172.21.200.5, 2017-07-17 12:18:08, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001120
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/default/site, HTTP/1.1, 200, 0.176445
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.005705
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001089
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001068
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001122
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001405
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001813
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.001369
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001105
172.21.200.34, 2017-07-17 12:18:11, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001072
172.21.200.5, 2017-07-17 12:18:19, POST, /admin/default/site, HTTP/1.1, 303, 0.284433
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/default/design/pylepton_post, HTTP/1.1, 200, 0.590946
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001135
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001610
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001070
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001194
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001777
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001964
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.002194
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.002073
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.002120
172.21.200.5, 2017-07-17 12:18:20, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.002686
172.21.200.5, 2017-07-17 12:18:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000753
172.21.200.34, 2017-07-17 12:18:28, POST, /admin/default/site, HTTP/1.1, 303, 0.255641
172.21.200.34, 2017-07-17 12:18:28, GET, /admin/default/design/CO2, HTTP/1.1, 200, 0.581465
172.21.200.34, 2017-07-17 12:18:28, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001130
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.006170
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001082
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001106
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001329
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001363
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.002084
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.001937
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.002114
172.21.200.34, 2017-07-17 12:18:29, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.002063
172.21.200.34, 2017-07-17 12:18:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000893
172.21.200.34, 2017-07-17 12:18:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000779
172.21.200.34, 2017-07-17 12:19:54, POST, /admin/default/check_version, HTTP/1.1, 200, 130.809498
172.21.200.5, 2017-07-17 12:20:19, POST, /admin/default/check_version, HTTP/1.1, 200, 131.793605
172.21.200.45, 2017-07-17 12:21:08, GET, /admin/default/site, HTTP/1.1, 200, 0.188996
172.21.200.45, 2017-07-17 12:21:08, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001462
172.21.200.45, 2017-07-17 12:21:08, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001099
172.21.200.45, 2017-07-17 12:21:08, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001075
172.21.200.45, 2017-07-17 12:21:08, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001098
172.21.200.45, 2017-07-17 12:21:09, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001192
172.21.200.45, 2017-07-17 12:21:09, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001252
172.21.200.45, 2017-07-17 12:21:09, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.001114
172.21.200.45, 2017-07-17 12:21:09, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001133
172.21.200.45, 2017-07-17 12:21:09, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001096
172.21.200.45, 2017-07-17 12:21:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001426
172.21.200.34, 2017-07-17 12:22:48, POST, /admin/default/create_file, HTTP/1.1, 303, 0.109527
172.21.200.34, 2017-07-17 12:22:49, GET, /admin/default/design/CO2, HTTP/1.1, 200, 0.402110
172.21.200.34, 2017-07-17 12:22:49, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001659
172.21.200.34, 2017-07-17 12:22:49, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001119
172.21.200.34, 2017-07-17 12:22:49, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001134
172.21.200.34, 2017-07-17 12:22:49, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001094
172.21.200.34, 2017-07-17 12:22:49, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001104
172.21.200.34, 2017-07-17 12:22:49, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001139
172.21.200.34, 2017-07-17 12:22:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000746
172.21.200.34, 2017-07-17 12:22:53, GET, /admin/default/peek/CO2/views/dashboard/html.html, HTTP/1.1, 200, 0.181523
172.21.200.34, 2017-07-17 12:22:53, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001204
172.21.200.34, 2017-07-17 12:22:53, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.004030
172.21.200.34, 2017-07-17 12:22:53, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001677
172.21.200.34, 2017-07-17 12:22:53, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004064
